GO_ID,x,y
GO:0000812,0.04795,0.639334
GO:0000813,0.062938,0.597249
GO:0000814,0.063218,0.598666
GO:0000815,0.063023,0.597271
GO:0000819,0.052796,0.635124
GO:0000820,0.04777,0.608484
GO:0000821,0.061298,0.618887
GO:0000822,0.058963,0.610771
GO:0000823,0.063058,0.602526
GO:0000824,0.062669,0.60838
GO:0000825,0.062345,0.608845
GO:0000827,0.061538,0.606879
GO:0000828,0.063456,0.605122
GO:0000829,0.063479,0.605472
GO:0000831,0.062429,0.610573
GO:0000832,0.059929,0.597412
GO:0000835,0.046344,0.612304
GO:0000836,0.063909,0.594875
GO:0000839,0.062904,0.599005
GO:0000900,0.06876,0.62249
GO:0000902,0.038815,0.631151
GO:0000910,0.042831,0.637798
GO:0000912,0.047332,0.611714
GO:0000915,0.046692,0.637339
GO:0000916,0.044835,0.633527
GO:0000921,0.047548,0.634961
GO:0000922,0.047742,0.640652
GO:0000930,0.06395,0.596988
GO:0000931,0.063331,0.600054
GO:0000932,0.069279,0.630861
GO:0000938,0.056494,0.588553
GO:0000939,0.048557,0.64357
GO:0000940,0.048741,0.643997
GO:0000956,0.068525,0.628407
GO:0000957,0.057209,0.618865
GO:0000958,0.04965,0.616915
GO:0000959,0.054364,0.619374
GO:0000960,0.055712,0.618903
GO:0000961,0.059365,0.620748
GO:0000962,0.043589,0.621228
GO:0000963,0.05951,0.622785
GO:0000964,0.061873,0.620234
GO:0000965,0.067106,0.626139
GO:0000966,0.062181,0.62494
GO:0000967,0.052399,0.618009
GO:0000972,0.066447,0.626916
GO:0000973,0.063237,0.631836
GO:0000974,0.067157,0.627288
GO:0000976,0.047367,0.623936
GO:0000977,0.049169,0.623833
GO:0000978,0.045097,0.622334
GO:0000979,0.05533,0.61953
GO:0000981,0.046296,0.620139
GO:0000987,0.031845,0.611591
GO:0000992,0.054207,0.614088
GO:0000993,0.054731,0.631654
GO:0000994,0.061734,0.624115
GO:0000995,0.03776,0.61499
GO:0001002,0.058198,0.61471
GO:0001003,0.04163,0.617298
GO:0001006,0.050679,0.625631
GO:0001010,0.042783,0.622065
GO:0001016,0.038412,0.614397
GO:0001018,0.060977,0.62409
GO:0001025,0.038746,0.614333
GO:0001042,0.052147,0.615164
GO:0001046,0.052712,0.630281
GO:0001059,0.04167,0.615694
GO:0001060,0.040343,0.611816
GO:0001067,0.034144,0.607082
GO:0001069,0.043205,0.611581
GO:0001091,0.049217,0.625249
GO:0001093,0.045676,0.625766
GO:0001094,0.042934,0.62071
GO:0001096,0.052553,0.620316
GO:0001097,0.052367,0.625619
GO:0001098,0.03662,0.612466
GO:0001099,0.057874,0.623611
GO:0001100,0.047978,0.634582
GO:0001101,0.041104,0.609983
GO:0001109,0.049921,0.613364
GO:0001111,0.044412,0.621465
GO:0001112,0.062253,0.624062
GO:0001115,0.055396,0.613383
GO:0001117,0.042499,0.614793
GO:0001120,0.057763,0.614132
GO:0001147,0.041591,0.618013
GO:0001156,0.047534,0.61522
GO:0001161,0.054982,0.631962
GO:0001162,0.044053,0.612156
GO:0001163,0.052637,0.615148
GO:0001164,0.048001,0.62872
GO:0001165,0.043108,0.618716
GO:0001172,0.0559,0.624658
GO:0001173,0.050357,0.614807
GO:0001174,0.045557,0.629289
GO:0001178,0.052066,0.61781
GO:0001179,0.045557,0.628047
GO:0001181,0.056171,0.617634
GO:0001188,0.034107,0.601113
GO:0001192,0.049988,0.615189
GO:0001193,0.047652,0.630453
GO:0001216,0.048917,0.614069
GO:0001217,0.045076,0.627042
GO:0001221,0.048825,0.624105
GO:0001222,0.04702,0.630846
GO:0001223,0.049785,0.626132
GO:0001227,0.050143,0.6304
GO:0001228,0.034089,0.615461
GO:0001325,0.058999,0.621693
GO:0001401,0.064382,0.617935
GO:0001405,0.067825,0.62674
GO:0001408,0.055825,0.612374
GO:0001409,0.056207,0.612498
GO:0001501,0.033056,0.614954
GO:0001502,0.03112,0.613399
GO:0001503,0.029553,0.614175
GO:0001504,0.045271,0.607877
GO:0001507,0.04976,0.600904
GO:0001508,0.032137,0.609307
GO:0001510,0.067676,0.632366
GO:0001512,0.038399,0.611459
GO:0001514,0.06902,0.630587
GO:0001515,0.033814,0.60791
GO:0001516,0.045903,0.605333
GO:0001517,0.052467,0.590439
GO:0001518,0.031512,0.603734
GO:0001519,0.05927,0.60887
GO:0001520,0.043957,0.630434
GO:0001522,0.060085,0.624326
GO:0001523,0.034369,0.605943
GO:0001525,0.031631,0.610058
GO:0001527,0.03231,0.609798
GO:0001530,0.051515,0.600873
GO:0001532,0.040591,0.616826
GO:0001533,0.029424,0.608634
GO:0001534,0.043568,0.631905
GO:0001535,0.042782,0.635333
GO:0001536,0.040778,0.627317
GO:0001537,0.039894,0.608154
GO:0001539,0.056925,0.611081
GO:0001540,0.029684,0.605831
GO:0001541,0.055529,0.618425
GO:0001542,0.037342,0.610977
GO:0001543,0.050826,0.613607
GO:0001544,0.038323,0.61508
GO:0001545,0.055269,0.609578
GO:0001546,0.043052,0.624955
GO:0001547,0.030596,0.607891
GO:0001549,0.037985,0.608878
GO:0001550,0.048031,0.616633
GO:0001552,0.047468,0.600636
GO:0001553,0.03194,0.613671
GO:0001554,0.036149,0.611525
GO:0001555,0.060575,0.623349
GO:0001556,0.044598,0.629314
GO:0001558,0.047492,0.63577
GO:0001560,0.0555,0.61902
GO:0001561,0.051584,0.603489
GO:0001562,0.049811,0.612461
GO:0001567,0.052613,0.590524
GO:0001568,0.030017,0.613362
GO:0001569,0.028625,0.612652
GO:0001570,0.028119,0.612499
GO:0001572,0.050191,0.5998
GO:0001573,0.040869,0.61295
GO:0001574,0.05044,0.589306
GO:0001575,0.034418,0.608174
GO:0001576,0.054047,0.615947
GO:0001578,0.048217,0.637565
GO:0001579,0.054502,0.612728
GO:0001580,0.038635,0.605453
GO:0001581,0.058499,0.610741
GO:0001582,0.033777,0.604611
GO:0001586,0.03628,0.612837
GO:0001587,0.046562,0.596777
GO:0001588,0.028884,0.604935
GO:0001591,0.03014,0.603762
GO:0001594,0.035084,0.608665
GO:0001595,0.033411,0.605542
GO:0001596,0.0325,0.608554
GO:0001601,0.032199,0.602517
GO:0001602,0.031052,0.604074
GO:0001604,0.033734,0.606446
GO:0001605,0.050369,0.611259
GO:0001607,0.029814,0.605385
GO:0001609,0.03034,0.601614
GO:0001614,0.057522,0.605855
GO:0001616,0.035899,0.606667
GO:0001618,0.040092,0.604543
GO:0001621,0.050629,0.610119
GO:0001626,0.03732,0.609365
GO:0001631,0.049973,0.597068
GO:0001632,0.037934,0.606707
GO:0001634,0.048169,0.612146
GO:0001635,0.030396,0.607549
GO:0001637,0.05249,0.614993
GO:0001640,0.029489,0.602658
GO:0001641,0.02926,0.606094
GO:0001642,0.029837,0.607339
GO:0001648,0.031148,0.605884
GO:0001649,0.029798,0.612512
GO:0001650,0.041664,0.626986
GO:0001651,0.059823,0.622218
GO:0001652,0.043053,0.611923
GO:0001653,0.04988,0.602606
GO:0001654,0.030482,0.613237
GO:0001655,0.031425,0.612211
GO:0001656,0.030794,0.611992
GO:0001657,0.030593,0.611717
GO:0001658,0.027923,0.611137
GO:0001659,0.034493,0.606172
GO:0001660,0.038806,0.609804
GO:0001661,0.042904,0.613092
GO:0001662,0.029368,0.60679
GO:0001664,0.030266,0.60749
GO:0001665,0.052608,0.591182
GO:0001666,0.030734,0.614962
GO:0001667,0.031732,0.609356
GO:0001669,0.043725,0.625841
GO:0001671,0.063007,0.624755
GO:0001673,0.042517,0.634052
GO:0001674,0.046662,0.634127
GO:0001675,0.041153,0.615483
GO:0001676,0.055971,0.594587
GO:0001678,0.050633,0.601453
GO:0001680,0.068026,0.62983
GO:0001681,0.052372,0.593483
GO:0001682,0.06978,0.633133
GO:0001691,0.05893,0.616689
GO:0001692,-0.370235,-0.490056
GO:0001694,-0.337841,-0.481303
GO:0001695,-0.338589,-0.480784
GO:0001696,-0.351198,-0.479015
GO:0001698,-0.349011,-0.477109
GO:0001701,-0.380177,-0.511895
GO:0001702,-0.380282,-0.511364
GO:0001704,-0.365149,-0.466252
GO:0001705,-0.38939,-0.465226
GO:0001706,-0.383391,-0.461883
GO:0001707,-0.385882,-0.484923
GO:0001708,-0.387285,-0.484792
GO:0001709,-0.384859,-0.482873
GO:0001710,-0.386995,-0.479392
GO:0001711,-0.396734,-0.458969
GO:0001712,-0.396421,-0.458399
GO:0001714,-0.403257,-0.454978
GO:0001716,-0.399492,-0.456852
GO:0001717,-0.40343,-0.454502
GO:0001725,-0.40163,-0.458055
GO:0001726,-0.402327,-0.457329
GO:0001727,-0.403001,-0.455337
GO:0001729,-0.403077,-0.454943
GO:0001730,-0.403122,-0.4548
GO:0001731,-0.403273,-0.454888
GO:0001732,-0.403443,-0.454655
GO:0001733,-0.403383,-0.45469
GO:0001734,-0.404162,-0.45399
GO:0001735,-0.402963,-0.455328
GO:0001736,-0.404477,-0.454008
GO:0001738,-0.404829,-0.453762
GO:0001739,-0.405025,-0.453521
GO:0001740,-0.405394,-0.453272
GO:0001741,-0.405948,-0.452476
GO:0001743,-0.405724,-0.452842
GO:0001750,-0.406098,-0.452416
GO:0001754,-0.40587,-0.45255
GO:0001755,-0.405644,-0.452962
GO:0001756,-0.40564,-0.452957
GO:0001757,-0.406727,-0.451559
GO:0001758,-0.405564,-0.452642
GO:0001759,-0.405859,-0.452681
GO:0001760,-0.40596,-0.45219
GO:0001761,-0.40652,-0.451741
GO:0001762,-0.406526,-0.451587
GO:0001763,-0.406201,-0.452275
GO:0001764,-0.405538,-0.45316
GO:0001765,-0.406151,-0.45209
GO:0001766,-0.406579,-0.451594
GO:0001767,-0.364565,-0.476908
GO:0001768,0.998238,0.207788
GO:0001770,0.998176,0.2077
GO:0001771,0.998224,0.207733
GO:0001772,0.99822,0.20768
GO:0001773,0.998164,0.207578
GO:0001774,0.998228,0.207663
GO:0001775,0.997842,0.207907
GO:0001776,0.998111,0.207637
GO:0001777,0.998179,0.20768
GO:0001778,0.998081,0.207598
GO:0001779,0.998292,0.207922
GO:0001780,0.998318,0.207879
GO:0001781,0.998082,0.207569
GO:0001782,0.99818,0.207678
GO:0001783,0.998281,0.207831
GO:0001784,0.998824,0.208331
GO:0001785,0.998243,0.207811
GO:0001786,-0.361693,-0.503283
GO:0001787,0.998218,0.207799
GO:0001788,0.998207,0.208147
GO:0001790,0.998278,0.207836
GO:0001791,0.998268,0.207826
GO:0001792,0.998269,0.207351
GO:0001793,0.998358,0.207906
GO:0001794,0.998024,0.207434
GO:0001796,0.998308,0.207825
GO:0001797,0.998247,0.207796
GO:0001798,0.998249,0.207781
GO:0001803,0.998363,0.207642
GO:0001805,0.998283,0.207817
GO:0001806,0.998285,0.207765
GO:0001807,0.998254,0.207642
