GO_ID,x,y
GO:0001569,0.588165,-0.014437
GO:0001570,0.510363,0.316218
GO:0001572,0.615406,-0.353821
GO:0001573,0.531206,-0.241243
GO:0001574,0.601668,-0.269998
GO:0001575,0.600054,-0.356817
GO:0001576,0.614298,-0.349439
GO:0001578,0.618605,-0.194207
GO:0001579,0.508457,-0.128865
GO:0001580,0.063356,0.142700
GO:0001581,0.049697,0.146813
GO:0001582,0.051290,0.155084
GO:0001586,-0.321123,-0.229778
GO:0001587,-0.362626,-0.229358
GO:0001588,-0.487286,-0.270100
GO:0001591,-0.466364,-0.349781
GO:0001594,-0.316273,-0.237547
GO:0001595,-0.277042,-0.292872
GO:0001596,-0.315194,-0.286362
GO:0001601,-0.311880,-0.324270
GO:0001602,-0.313085,-0.294985
GO:0001604,-0.289151,-0.336653
GO:0001605,-0.286355,-0.285493
GO:0001607,-0.294050,-0.324244
GO:0001609,-0.513282,-0.394359
GO:0001614,0.057522,0.605855
GO:0001616,-0.511059,-0.377847
GO:0001618,-0.294481,0.553673
GO:0001621,-0.498103,-0.395742
GO:0001626,-0.371623,-0.332771
GO:0001631,-0.508365,-0.364226
GO:0001632,-0.458276,-0.382902
GO:0001634,-0.505420,-0.374619
GO:0001635,-0.279827,-0.309570
GO:0001637,-0.506993,-0.363055
GO:0001640,-0.504109,-0.379218
GO:0001641,-0.510683,-0.375948
GO:0001642,-0.465935,-0.365679
GO:0001648,-0.311014,-0.316717
GO:0001649,0.526753,0.454788
GO:0001650,0.041664,0.626986
GO:0001651,0.059823,0.622218
GO:0001652,0.043053,0.611923
GO:0001653,-0.511633,-0.185369
GO:0001654,-0.868753,0.089642
GO:0001655,0.118862,-0.316440
GO:0001656,-0.786602,0.219990
GO:0001657,0.681221,-0.328276
GO:0001658,0.513592,-0.059803
GO:0001659,-0.054109,-0.162886
GO:0001660,0.427054,-0.105531
GO:0001661,-0.857539,-0.222817
GO:0001662,0.100569,-0.131287
GO:0001664,-0.344306,0.481425
GO:0001665,-0.152583,0.508576
GO:0001666,0.030734,0.614962
GO:0001667,-0.834680,0.479838
GO:0001669,-0.299837,0.224637
GO:0001671,-0.403878,0.280219
GO:0001673,0.394910,0.022519
GO:0001674,0.345533,0.049033
GO:0001675,0.663216,-0.158326
GO:0001676,0.543970,-0.248090
GO:0001678,0.009368,-0.040890
GO:0001680,0.386174,0.060548
GO:0001681,-0.147366,0.554520
GO:0001682,0.449131,-0.175025
GO:0001691,0.726770,0.407304
GO:0001692,0.551275,-0.170650
GO:0001694,0.534785,-0.172728
GO:0001695,0.214557,-0.000002
GO:0001696,-0.609296,0.452642
GO:0001698,-0.710749,0.398868
GO:0001701,0.169379,0.188246
GO:0001702,0.673124,-0.068702
GO:0001704,0.064575,-0.123010
GO:0001705,0.078159,-0.209942
GO:0001706,0.114426,-0.195315
GO:0001707,-0.101115,-0.180969
GO:0001708,-0.387285,-0.484792
GO:0001709,0.042581,-0.126935
GO:0001710,-0.414501,0.220677
GO:0001711,-0.392295,0.236726
GO:0001712,-0.430774,0.281627
GO:0001714,-0.317162,-0.522577
GO:0001716,-0.167160,0.518162
GO:0001717,0.453192,-0.223325
GO:0001725,-0.170440,-0.374624
GO:0001726,-0.148773,-0.414183
GO:0001727,-0.403001,-0.455337
GO:0001729,-0.440482,-0.469402
GO:0001730,0.599079,0.300894
GO:0001731,0.033195,0.313443
GO:0001732,0.036364,0.342274
GO:0001733,0.550043,0.263394
GO:0001734,-0.145840,0.650708
GO:0001735,-0.227853,0.436579
GO:0001736,-0.404477,-0.454008
GO:0001738,-0.404829,-0.453762
GO:0001739,0.094203,0.628946
GO:0001740,-0.149063,-0.477032
GO:0001741,-0.109993,-0.487387
GO:0001743,-0.450523,0.330766
GO:0001750,-0.406098,-0.452416
GO:0001754,-0.405870,-0.452550
GO:0001755,-0.855450,0.510029
GO:0001756,0.405034,0.393485
GO:0001757,0.671702,-0.143440
GO:0001758,-0.185465,0.443632
GO:0001759,0.496258,0.479152
GO:0001760,-0.152912,0.736147
GO:0001761,-0.440612,-0.260321
GO:0001762,0.454276,-0.081536
GO:0001763,0.487959,0.127219
GO:0001764,-0.710251,0.499993
GO:0001765,0.504547,-0.043868
GO:0001766,0.698177,-0.236323
GO:0001767,0.675777,-0.033836
GO:0001768,0.716479,-0.125861
GO:0001770,0.732932,-0.008205
GO:0001771,0.634369,-0.098110
GO:0001772,-0.165496,-0.464303
GO:0001773,0.019720,0.365560
GO:0001774,0.494312,0.224754
GO:0001775,0.997842,0.207907
GO:0001776,0.096883,-0.247226
GO:0001777,0.998179,0.207680
GO:0001778,0.648979,-0.241733
GO:0001779,0.530896,0.416098
GO:0001780,-0.001348,-0.340821
GO:0001781,0.273034,0.331380
GO:0001782,0.041066,-0.253287
GO:0001783,0.416335,-0.117014
GO:0001784,-0.264586,0.511262
GO:0001785,-0.502103,-0.388989
GO:0001786,-0.374857,0.461058
GO:0001787,0.571441,0.332937
GO:0001788,-0.083949,-0.327696
GO:0001790,0.687840,0.108598
GO:0001791,0.687823,0.106869
GO:0001792,-0.615259,-0.224069
GO:0001793,-0.574891,-0.240384
GO:0001794,-0.080588,-0.328877
GO:0001796,0.089591,-0.144093
GO:0001797,-0.013538,-0.161292
GO:0001798,0.107270,-0.140874
GO:0001803,0.093567,-0.146654
GO:0001805,0.030631,-0.106976
GO:0001806,0.114221,-0.189400
GO:0001807,0.082937,-0.083574
GO:0001808,0.068012,-0.115757
GO:0001809,0.130348,-0.109074
GO:0001810,0.058981,-0.111277
GO:0001811,0.054213,-0.150353
GO:0001812,0.078799,-0.104427
GO:0001813,0.067803,-0.139643
GO:0001814,0.051590,-0.173688
GO:0001815,0.063634,-0.149843
GO:0001816,0.690732,-0.137569
GO:0001817,0.998362,0.207893
GO:0001818,0.998390,0.207970
GO:0001819,0.998190,0.207709
GO:0001820,0.484973,0.005356
GO:0001821,0.998326,0.207890
GO:0001822,-0.808078,0.175105
GO:0001823,-0.850452,0.147093
GO:0001824,0.998409,0.207961
GO:0001825,0.996753,0.206063
GO:0001826,-0.370425,-0.498912
GO:0001827,-0.368465,-0.489927
GO:0001828,-0.370042,-0.507788
GO:0001829,-0.377542,-0.508523
GO:0001830,-0.339595,-0.483815
GO:0001831,-0.365302,-0.477274
GO:0001832,-0.371831,-0.490176
GO:0001833,-0.371670,-0.491901
GO:0001834,-0.362536,-0.484579
GO:0001835,-0.371023,-0.491830
GO:0001836,0.635817,-0.160326
GO:0001837,0.469441,0.354763
GO:0001838,0.107515,-0.114535
GO:0001839,0.586621,-0.116780
GO:0001840,-0.377791,-0.509972
GO:0001841,0.155037,-0.006287
GO:0001842,-0.796328,-0.111056
GO:0001843,0.141313,-0.184901
GO:0001845,0.643310,-0.170202
GO:0001846,-0.374524,-0.505944
GO:0001847,-0.347869,-0.479723
GO:0001848,-0.371595,-0.472606
GO:0001849,-0.384040,-0.480079
GO:0001850,-0.366349,-0.471839
GO:0001851,-0.395590,-0.512488
GO:0001855,-0.387294,-0.516046
GO:0001861,-0.582241,-0.231596
GO:0001865,0.136607,-0.009184
GO:0001866,0.410637,-0.108048
GO:0001867,-0.129395,-0.311017
GO:0001868,-0.088680,-0.362441
GO:0001869,-0.033882,-0.286807
GO:0001872,-0.331416,0.491429
GO:0001875,-0.426516,-0.233756
GO:0001878,0.231876,-0.045569
GO:0001879,0.066430,-0.550770
GO:0001880,-0.373181,0.050031
GO:0001881,0.277186,-0.056136
GO:0001882,-0.353560,-0.492019
GO:0001883,-0.349349,-0.475179
GO:0001885,0.056123,-0.257294
GO:0001886,-0.417293,-0.280404
GO:0001887,-0.370998,-0.463017
GO:0001888,-0.118129,0.588796
GO:0001889,-0.016679,-0.232526
GO:0001890,-0.374866,-0.507085
GO:0001891,-0.011013,-0.413513
GO:0001892,-0.778869,0.127577
GO:0001893,0.443188,0.344171
GO:0001894,0.009707,-0.206695
GO:0001895,-0.366408,-0.498904
GO:0001906,0.621696,-0.071480
GO:0001909,0.114841,-0.258070
GO:0001910,-0.066091,-0.214403
GO:0001911,-0.246189,-0.226738
GO:0001912,-0.087994,-0.220427
GO:0001913,-0.423170,-0.479173
GO:0001914,-0.085824,-0.207883
GO:0001915,-0.191484,-0.228343
GO:0001916,-0.112354,-0.227380
GO:0001917,-0.083613,-0.273859
GO:0001918,-0.348681,-0.493583
GO:0001919,-0.367849,-0.503280
GO:0001920,-0.315887,-0.482638
GO:0001921,-0.368085,-0.495401
GO:0001922,0.090085,-0.259916
GO:0001923,0.146627,-0.180184
GO:0001928,-0.351004,-0.483269
GO:0001931,-0.357477,-0.490000
GO:0001932,-0.373333,-0.509015
GO:0001933,-0.134495,0.291343
GO:0001934,-0.375077,-0.509275
GO:0001935,0.028884,-0.273374
GO:0001936,-0.374585,-0.493727
GO:0001937,0.280007,-0.140632
GO:0001938,-0.196288,-0.321984
GO:0001939,0.433966,0.044582
GO:0001940,0.382482,0.097974
GO:0001941,0.734461,-0.149550
GO:0001942,0.288243,0.375579
GO:0001944,0.095994,-0.219929
